text,label
"Citi upgrades JPMorgan Chase to buy, says stock is at an attractive entry point  ",Analyst Update
Morgan Stanley names its top stocks in a ‘safe haven’ tech sector — giving one upside of 60%  ,Analyst Update
"UBS cuts S&amp;P 500 price target for 2022, says earnings estimates could go down even more  ",Analyst Update
Evercore ISI says 'gazumped growth growers' could do well in a potentially tough earnings season  ,Analyst Update
"Evercore ISI cuts S&amp;P 500 target, citing slower growth and lower earnings  ",Analyst Update
"Shares of Mattel could see more than 30% upside on TV and movie releases, Goldman Sachs says  ",Analyst Update
"Occidental Petroleum looks overbought after its rally this year, Goldman Sachs says  ",Analyst Update
Analyst call of the day for @CNBCPro subscribers: Cowen reiterates Apple as outperform and says the stock remains a “defensive name” heading into earnings later this month.  Subscribe to see the analyst calls of the day curated by CNBC Pro.  ,Analyst Update
"Here are Monday's biggest analyst calls: Apple, Amazon, Meta, Honeywell, CVS, Mattel, Qorvo &amp; more  ",Analyst Update
"Bank of America upgrades Honeywell to buy, citing potential growth in aerospace and oil and gas  ",Analyst Update
"It's time to sell Meta until it figures out the metaverse, Needham says in downgrade  ",Analyst Update
"Bank of America shares are a compelling buy even in a recession, Societe Generale says in upgrade  ",Analyst Update
Cowen downgrades chip stock Qorvo as demand for smartphone slows  ,Analyst Update
"$COF (104.70, -2.47, -2.3%): Capital One was downgraded to Perform from Outperform at Oppenheimer and downgraded to Equal-Weight from Overweight at Morgan Stanley",Analyst Update
"$ZG: Zillow finally gets an analyst upgrade, which we found notable, but will other firms follow suit?  ",Analyst Update
"@FibonacciSQNC ""E"" estimates been coming down sharply ex-Oil/Gas as well, feels a lot positioned for nasty outlooks, think could surprise",Analyst Update
$PYPL Morgan Stanley maintained Paypal coverage with Overweight and $129 PT .... im still long,Analyst Update
JMP Securities maintained $HOOD coverage with a market Outperform and $28 price target,Analyst Update
$FRLN just out: Wedbush Outperform rating and $3 PT,Analyst Update
$EPIX Just out: $25 price target at Zacks Small Cap Research  ,Analyst Update
AM Best Removes From Under Review With Negative Implications and Affirms Credit Ratings of R&amp;Q Insurance Holdings Ltd. and Rated Subsidiaries  https://t.co/5CxW4lNxPC  ,Analyst Update
KBRA Assigns Preliminary Ratings to Progress Residential 2022-SFR6  https://t.co/51Sdyk17wk  ,Analyst Update
KBRA Commentary on Fire Near Starz Mortgage Securities 2021-1 DAC Brixton Loan Collateral  https://t.co/G55xhqhEgz  ,Analyst Update
AM Best Places Credit Ratings of Brightsideco Insurance Limited Under Review With Negative Implications  https://t.co/HtnytwDNYY  ,Analyst Update
Ventas’s Outlook Revised by Fitch Ratings to Stable  https://t.co/i6CVfL0skF  ,Analyst Update
AM Best Revises Outlooks to Positive for Frank Winston Crum Insurance Company  https://t.co/EmZy6sevSL  ,Analyst Update
AM Best Comments on Credit Ratings of Covéa Coopérations and PartnerRe Ltd. Following Sale Completion  https://t.co/ZgLYM3one6  ,Analyst Update
AM Best Comments on Credit Ratings of Athora Holding Ltd.’s Subs Following its Announced Acquisition of a Closed Life and Pension Portfolio  https://t.co/ewg89dtPPE  ,Analyst Update
AM Best Affirms Credit Ratings of Crum &amp; Forster Insurance Group’s Members and Monitor Life Insurance Company of New York  https://t.co/qam1VLkFfA  ,Analyst Update
AM Best Assigns Credit Ratings to ONIX Asigurari S.A.  https://t.co/xdZ7EM0piV  ,Analyst Update
NICE Named a Leader in Journey Orchestration by Top Analyst Firm  https://t.co/w5QJnqrfXg  ,Analyst Update
S&amp;P Affirms Assured Guaranty’s AA Financial Strength Ratings with Stable Outlook  ,Analyst Update
AM Best Places Credit Ratings of Western Health Advantage Under Review With Developing Implications  https://t.co/Ga6r7bpkjG  ,Analyst Update
JPMorgan analysts have put out their monthly list of top-idea stocks  ,Analyst Update
Grizzly Research's bear report on NIO highlights possible accounting issues and corporate governance red flags  ,Analyst Update
JPMorgan analysts have put out their monthly list of top-idea stocks  ,Analyst Update
Klarna’s valuation slashed to under $7bn in latest funding round  ,Analyst Update
"Kraft Heinz coverage started at buy at Mizuho, citing 'portfolio with potential'  ",Analyst Update
"JPMorgan lifted to hold from sell at Berenberg, because 'good banks have bad years'  ",Analyst Update
Bank of America slashes S&amp;P 500 target to ‘lowest on the Street’ after recession forecast  ,Analyst Update
"Twitter has a new bullish backer on Wall Street, as Rosenblatt Securities said the social media’s company’s disclosures have “flipped” the narrative, and now makes Elon Musk look like the bad guy.    ",Analyst Update
"“[T]witter’s disclosure of very detailed efforts to explain its spam bot calculations to Musk, and Musk’s reluctance to engage, largely ends our skepticism about Twitter, and instead makes us skeptical about Musk,” one analyst wrote.  ",Analyst Update
Klarna valuation slashed to $6.7 billion from $45.6 billion in new funding round  ,Analyst Update
"$LULU $FTCH $JWN - Lululemon, Nike and Nordstrom headline KeyBanc's list of top retail picks  ",Analyst Update
"$NXPI $ON $NVDA - Citi gets positive on NXP, ON, as firm says semiconductor rally could last into August  ",Analyst Update
"$TMUS $T $VZ - Citi still sees solid revenue growth in broadband, wireless despite headwinds  ",Analyst Update
$MORF - Morphic coverage initiated with Outperform by SVB Securities  ,Analyst Update
$RGEN - Repligen attracts initial bull rating at UBS Group on long-term growth prospects  ,Analyst Update
"$WWW $BIRD $PLBY - Stifel downgrades Allbirds, Wolverine, PLBY in downbeat retail review  ",Analyst Update
"$GOOG $GOOGL - Exane hits sidelines on Alphabet amid ad pressures, rival headwinds  ",Analyst Update
$ALLY - Ally Financial downgraded to In Line as delinquency rates rise  ,Analyst Update
$EXLS $G $WNS - Citi downgrades ExlService to sell over premium valuation  ,Analyst Update
$CMI - Cummins downgraded at Bernstein due to slowing demand  ,Analyst Update
$CZR - Caesars Entertainment set to Sell-equivalent at Susquehanna amid softening demand  ,Analyst Update
$VBLT - Vascular Biogenics cut to Neutral at HC Wainwright after trial failure sinks stock 79%  ,Analyst Update
"$BMBL $MTCH - J.P. Morgan cuts online dating estimates on macro issues, but stays positive  ",Analyst Update
$HBM $FQVLF $FNV - Hudbay Minerals upgraded at Barclays as value emerges after copper selloff  ,Analyst Update
$XOM - Exxon upped to Buy at Piper Sandler with refinery results poised to hit records  ,Analyst Update
$TFC - Truist downgraded to Hold at CFRA with limited prospects in fee income growth  ,Analyst Update
$DPZ - Domino’s Pizza positioned to outperform in market down - Baird  ,Analyst Update
"$TAK $ARWR - Takeda upgraded to outperform at Cowen on valuation, cash flow  ",Analyst Update
$APLS - H.C. Wainwright sees blockbuster potential for Apellis' treatment in eye degeneration  ,Analyst Update
$INO - Inovio Pharmaceuticals slotted at Sector Perform by RBC Capital in initial rating look  ,Analyst Update
"$BECN - Beacon Roofing Supply cut at William Blair on peak margins, slowing housing market  ",Analyst Update
"$KLAC $AMAT $INTC - KLA Corp., Applied Materials, Intel among expected beneficiaries of CHIPS Act, BofA says  ",Analyst Update
"$INTC - Susquehanna cautious on Intel going into Q2, citing 'deteriorating PC demand'  ",Analyst Update
$CZR - Caesars Entertainment is singled out at B. Riley for earnings catalyst potential  ,Analyst Update
$DICE $AMGN - DICE Therapeutics initiated at buy at Wainwright on platform for small molecule drugs  ,Analyst Update
"$GM $TSLA - General Motors downgraded at Deutsche amid pricing pressure, recession risks  ",Analyst Update
$CMG - Chipotle loses conviction buy list status at Goldman Sachs but is still a top restaurant pick  ,Analyst Update
$BKNG - Booking Holdings called out at Evercore ISI for near-term upside  ,Analyst Update
$SHOO $RCKY $WWW - B. Riley expects footwear stocks to stand firm amid market turmoil  ,Analyst Update
$PEN - Penumbra gains as RBC initiates at Outperform with 59% upside  ,Analyst Update
$MITT - Keefe Bruyette analyst downgrades AG Mortgage Investment Trust over sector concerns  ,Analyst Update
$HOLX - Hologic cut to Neutral at BTIG on macro concerns  ,Analyst Update
$BL - BlackLine falls after cut sell equivalent at BofA even after M&amp;A speculation  ,Analyst Update
"$IP $GPK - Containerboard check: Wells Fargo downgrades International Paper, calls Graphic Packaging its top pick  ",Analyst Update
$SHOP - Shopify is viewed cautiously by Wells Fargo into earnings print  ,Analyst Update
"$LLY $NVO $NONOF - Novo, Eli Lilly to dominate &gt;$50B obesity market - Morgan Stanley  ",Analyst Update
"$DXCM - Bernstein initiates DexCom with an outperform rating, citing long growth runway  ",Analyst Update
"$SAVE $ULCC $JBLU - ISS shifts view, advises against Spirit-Frontier deal sans improved offer  ",Analyst Update
$MLM $VMC - Martin Marietta raised to Outperform at Wolfe as 30% YTD drop 'excessive'  ,Analyst Update
"$SRE $EIX $PCG - Sempra upgraded, Edison downgraded as BofA shuffles California utilities  ",Analyst Update
"$APTV $ADNT $AXL - Morgan Stanley cuts PT on Group 1 Automotive, American Axle, Adient, Aptiv, citing credit headwinds and slow growth  ",Analyst Update
$TASK - Wells Fargo cuts price target on TaskUs to $20 from $37  ,Analyst Update
"$CF $NTR - CF Industries, Nutrien slapped with Sell-equivalent ratings at Credit Suisse  ",Analyst Update
"$AGS $LNW $IGT - Casino stock, PlayAGS sees lowered price target at Deutsche amid a mixed bag of upside and downside risks  ",Analyst Update
"$SQSP $SHOP $WIX - JMP downgrades Squarespace over product disparity with commerce platforms Shopify, Wix  ",Analyst Update
"$JELD - Barclays downgrades JELD-WEN to equal-weight from overweight, cuts PT to $17  ",Analyst Update
$SAH - Morgan Stanley cuts Sonic Automotive forecast to reflect slowing growth and credit headwinds  ,Analyst Update
$HMN - Horace Mann Educators price target cut post Q2 results estimates and lower 2022 outlook  ,Analyst Update
$TWLO $RNG $BAND - Morgan Stanley cuts communication software stocks PT on cautious growth outlook  ,Analyst Update
"$APTV $FREY $LEA - Auto suppliers, dealers see estimates cut by Morgan Stanley ahead of earnings season  ",Analyst Update
"$ZETA $WIX $USER - Freshworks, GoDaddy, ServiceNow among SaaS software price target cut at Morgan Stanley on slowing demand  ",Analyst Update
"$PLNT $WEBR $EBR - Harley Davidson, Planet Fitness picked as resilient recession stocks by BofA  ",Analyst Update
$AOS - Baird downgrades A. O. Smith to neutral  ,Analyst Update
$C - Analysts relatively optimistic on Citigroup's Q2 earnings despite disappointing results by big banks  ,Analyst Update
"$FFIV - F5 slips as Credit Suisse downgrades, citing recent spending weakness for networking IT  ",Analyst Update
$ESRT - Empire State Realty Trust upgraded to Market Perform at BMO on tourist rebound  ,Analyst Update
$INSE - Inspired Entertainment is on watch after B. Riley calls out buying opportunity  ,Analyst Update
$RBA - Ritchie Bros. lands bull rating at BofA with auction cycle looking strong  ,Analyst Update
$EDU $KLTHF - Hedgeye says go long New Oriental Education and short Koolearn in new pair trade recommendation  ,Analyst Update
"$FISV $FIS $CDLX - FIS, FISV, and Cardlytics downgraded to Equalweight at Wells Fargo  ",Analyst Update
"$AAPL - Apple's advertising business could be worth $20B by 2026, BofA says  ",Analyst Update
"$AMD $INTC - Advanced Micro Devices rises as BMO upgrades, citing 'continued superior execution'  ",Analyst Update
$RRR - Red Rock Resorts is named a best idea long at Hedgeye  ,Analyst Update
$SLCA - U.S. Silica raised at Morgan Stanley on tightening frac sand conditions  ,Analyst Update
"$PWSC - PowerSchool upgraded by Goldman Sachs, PT set to $16  ",Analyst Update
"$CE - Celanese cut at RBC on peak acetic/VAM prices, higher leverage  ",Analyst Update
$EB - Eventbrite initiated with a sector weight at KeyBanc  ,Analyst Update
"$APPS $U $IS - Digital Turbine could be 'in play,' Oppenheimer says, following Unity/ironSource deal  ",Analyst Update
"$BMRN $VRTX - Vertex, BioMarin initiated at overweight at Cantor Fitzgerald on growth prospects  ",Analyst Update
$VRRM - Baird downgrades Verra Mobility as valuation reflects balanced risk/reward  ,Analyst Update
$BHF - Barclays revises Brighthouse Financial estimates on negative equity market performance  ,Analyst Update
"$LPRO - JMP cuts PT on Open Lending, reiterates Market Outperform rating  ",Analyst Update
$RIVN $AMZN - Rivian Automotive is called an EV winner by Canaccord Genuity  ,Analyst Update
$BBWI - RayJay sees Bath &amp; Body Works as a 'Strong Buy' after recent selloff  ,Analyst Update
"$AAPL - Citi cuts estimates on Apple, citing 'macro woes,' but offers 5 reasons to buy shares  ",Analyst Update
$CMI - Cummins is a catalyst call buy at Deutsche Bank  ,Analyst Update
$GBX - Analysts defend Greenbrier despite post-earnings plunge  ,Analyst Update
"$HQY $MDRX - Goldman Sachs initiates HealthEquity with sell rating, Allscripts Healthcare with neutral  ",Analyst Update
$SST - System1 lands buy rating from Bank of America in first ratings look  ,Analyst Update
$UNTY - Unity Bancorp added to US Small-Cap Russell 2000 Index  ,Analyst Update
$SRRK - Scholar Rock initiated at buy at Truist on platform for rare diseases and oncology  ,Analyst Update
"$HSC - BMO analyst initiates coverage on Harsco with Market Perform rating, price target of $7  ",Analyst Update
$RNR - RenaissanceRe cut to Hold at Jefferies as investment losses may curtail buybacks  ,Analyst Update
"$UPS $EXPD $CHRW - UPS downgraded to Sell, Knight-Swift upgraded at Wolfe Research  ",Analyst Update
$DCP - DCP Midstream upgraded at RBC after recent sharp slide  ,Analyst Update
$ONEM - 1Life Healthcare downgraded to Hold from Buy at Deutsche Bank  ,Analyst Update
$VRNS - Varonis Systems' price target cut at Barclays as stock slides to 52-week low  ,Analyst Update
$UMC - Citi analyst downgrades United Microelectronics to Sell from Buy considering expected weaker consumer demand  ,Analyst Update
$HASI - Hannon Armstrong falls on new short report from Muddy Waters  ,Analyst Update
$APTV - Aptiv is viewed positively by Oppenheimer ahead of earnings  ,Analyst Update
"$NVDA $AMD $SWKS - KeyBanc cuts estimates on Nvidia, AMD, others as firm sees semi correction 'looming'  ",Analyst Update
"$AXP $SEIC $COF - American Express, Capital One, SEI Investments cut at Morgan Stanley  ",Analyst Update
"$JPM $PNC $KEY - JPMorgan upgraded to Buy at Citi, Regions Financial cut to Neutral  ",Analyst Update
$KNX - Evercore upgrades Knight-Swift Transportation amid attractive M&amp;A prospects  ,Analyst Update
$COF - Capital One downgraded to neutral as tangible book value growth stalls  ,Analyst Update
"$AAPL - Apple lowering trade-in prices, implies 'strong demand,' BofA says  ",Analyst Update
$MGNX - MacroGenics downgraded at BMO after discontinuation of cancer trial  ,Analyst Update
$AAPL $QCOM $QRVO - Smartphone shipments seen declining in new Cowen industry outlook  ,Analyst Update
$ONEM $CANO $OSH - ONEM stock underperforms value-based care as Evercore downgrades  ,Analyst Update
"$QRVO - Qorvo slips as Cowen downgrades, citing weakness in Android handsets  ",Analyst Update
"$PIPR - Piper Sandler downgraded by Wolfe Research, PT to $132  ",Analyst Update
"$ABC $CI $WBA - AmerisourceBergen downgraded at Evercore on valuation, future operating performance  ",Analyst Update
"$XLK $SPY $XLY - Credit Suisse wary on Big Tech earnings, but Oppenheimer highlights charts  ",Analyst Update
$JACK - Jack in the Box is defended at Guggenheim even as estimates are reeled in  ,Analyst Update
$PRVB - HC Wainwright cuts PT on Provention Bio to reflect recent financing  ,Analyst Update
$ETNB - SVB Leerink slashes PT on 89bio  ,Analyst Update
"$ELYM - SVB Leerink cuts PT on Eliem Therapeutics, reaffirms Outperform rating  ",Analyst Update
"$TTD $CRTO $SNAP - Stifel cuts ad industry estimates, but still likes Trade Desk and Criteo  ",Analyst Update
$SILK - Silk Road Medical falls after Citigroup downgrades to Sell from Neutral  ,Analyst Update
$NSSC - Napco Security Technologies attract Bull rating at B. Riley on school safety prospects  ,Analyst Update
$GIII - G-III Apparel is viewed cautiously at Wells Fargo  ,Analyst Update
$NEWR - New Relic goes into the red following Morgan Stanley downgrade  ,Analyst Update
"$TWTR - Twitter shares could drop to $11/share without deal, analyst says  ",Analyst Update
"GOLDMAN SACHS DOWNGRADES COPPER PRICE VIEW THROUGH H2 TO REFLECT NEAR-TERM STAGNATION (GSE $7,200/T VS. $8,875/T PREVIOUSLY), SEES GRADUAL REVIVAL OVER FIRST HALF OF 2023 (GSE $8,000/T VS $10,250/T PREVIOUSLY)",Analyst Update
"GOLDMAN SACHS REVISES COPPER PRICE TARGETS FOR 3/6/12M TO $6,700/7,600/9,000/T (VS. $8,650/10,500/12,000/T PREVIOUSLY)",Analyst Update
MOODY'S DOWNGRADES PEMEX'S RATINGS TO B1; OUTLOOK CHANGED TO STABLE,Analyst Update
S&amp;P SAYS TWITTER INC. 'BB+' RATINGS REMAIN ON CREDITWATCH NEGATIVE AS MUSK DEAL TEETERS,Analyst Update
"@Macquarie Analyst Chad Beynon on casinos and gaming stocks: “The result in Singapore, which is the number one profit generating asset in the world, came back to almost… pre-recession levels.”  ",Analyst Update
"Amazon's ginormous retail business is being priced at 'virtually zero value,' making the stock 'attractive': Analyst  https://t.co/6P8hFpL855 by @BrianSozzi",Analyst Update
"Disney offers something that streaming competitors ‘are not offering,’ analyst explains  https://t.co/wh6DoDi8wd by @_JoshSchafer  ",Analyst Update
Futurum Research Principal Analyst Daniel Newman on $IBM Q2 earnings: “I think this was a really good print for IBM.” Full comments:  ,Analyst Update
Rosenblatt Securities Senior Research Analyst Barton Crockett breaks down the expectations for $NFLX Q2 earnings:  ,Analyst Update
"$GS has ""a pretty balanced business model,"" JMP Securities Director of Financial Technology Research Devin Ryan says, adding: ""Their trading results were very resilient, and that more than offset a little bit softer investment banking.""  https://t.co/Jb7k9tf4PH  ",Analyst Update
"Morgan Stanley bearish on auto sector, but ‘constructive’ on GM, Ford  https://t.co/fDppemoWGO by @Pras_S  ",Analyst Update
"Analyst slams Netflix-Microsoft ad agreement, says deal conceals 'hidden agenda'  https://t.co/p4clbfCwQC by @BrianSozzi by @alliecanal8193  ",Analyst Update
"Costco will stay hot even as economy slows, Deutsche Bank analyst says  https://t.co/3R3pl3PwRF by @BrianSozzi  ",Analyst Update
"Analyst sees 45% rally, recommends buying Twitter ahead of Musk legal battle  https://t.co/3EiS8hy7Sy by @BrianSozzi  ",Analyst Update
"Analyst sees 45% rally, recommends buying Twitter ahead of Musk legal battle  https://t.co/DGXzbB0a0F by @BrianSozzi  ",Analyst Update
"Morgan Stanley bearish on auto sector, but ‘constructive’ on GM, Ford  https://t.co/NBpsfftv4N by @Pras_S  ",Analyst Update
"Analyst slams Netflix-Microsoft ad agreement, says deal conceals 'hidden agenda'  https://t.co/ps5ixNKbY4 by @BrianSozzi by @alliecanal8193  ",Analyst Update
"Analyst slams Netflix-Microsoft ad agreement, says deal conceals 'hidden agenda'  https://t.co/lizubCKefN by @BrianSozzi by @alliecanal8193  ",Analyst Update
"Morgan Stanley bearish on auto sector, but ‘constructive’ on GM, Ford  https://t.co/sxMEISsb3m by @Pras_S  ",Analyst Update
Short-seller Hindenburg Research makes surprising new buy: Twitter  https://t.co/PEv9dGy3CA by @BrianSozzi  ,Analyst Update
Short-seller Hindenburg Research makes surprising new buy: Twitter  https://t.co/3WbyEQ3KMJ by @BrianSozzi  ,Analyst Update
Hindenburg Research takes a “significant long position” on $TWTR shares as the social media platform sues Elon Musk over conditions of his $44B acquisition deal.  ,Analyst Update
"Hindenburg Research calls $TWTR shares positioning ""a credible threat to Elon Musk's empire.""  ",Analyst Update
"D.A. Davidson Sr. Research Analyst Tom Forte on $AMZN amid its Prime Day event: ""This year, an argument can be made that they need a sale..."" Full comments:  ",Analyst Update
7 reasons why Lululemon's stock is a sell: Jefferies  https://t.co/S4pHlJRxSo by @BrianSozzi  ,Analyst Update
Upgrades 7/21: $BHLB $BRX $CSX $F $IDXX $KT $LVS $SWN  . Downgrades 7/21: $COMP $COOK $DOCU $ELAN $FIGS $HSIC $NVTA $PECO $PVH $PZZA $SFT $SYK $VBLT $ZTS,Analyst Update
Upgrades 7/20: $ALB $ALLK $AXTA $BABA $BERY $CHKP $CVX $DTM $EGO $FMC $FNV $NFLX $VITL $XYL  . Downgrades 7/20: $ALLY $ANET $ATRA $BIRD $CARR $CMI $EQR $EXLS $EXP $FFIV $FOR $GOOGL $HOLX $JCI $JNPR $MLNK $NMR $PLBY $PYPL $SEE $VBLT $VSTA $WEC $WU $WWW $WY,Analyst Update
Bernstein Strategists Say Stocks Have Yet to See Capitulation - BBG   ,Analyst Update
Downgrades 7/18: $ACT $AEVA $ANGN $BL $CMG $CRK $EAT $FOXA $GM $GT $HOLX $IEX $IP $JHG $LAZ $LMND $MC $MFA $MGNX $MITT $NYMT $OPEN $PARA $RDN $UDMY,Analyst Update
Morgan Stanley Sees Stock Losses Even If There’s No Recession - BBG   ,Analyst Update
Upgrades 7/15: $ALLO $CHX $CSX $FTI $NSC $NVO $PFHC $QCOM  . Downgrades 7/15: $CSCO $CURV $DAL $DRE $ERIC $FSTX $MAN $NEX $PFHC $PTEN $RHI $RXT $TXG $YELP,Analyst Update
Downgrades 7/14: $AAT $AOS $BHP $CDLX $CFRX $CI $CSCO $DG $EIX $FAST $FELE $FFIV $FIS $FISV $GGG $HAYW $HIMX $ILMN $INN $IS $JELD $MHK $MPW $NVEI $OM $POOL $SITE $SQSP $TEL $U $WIT,Analyst Update
Upgrades 7/14: $AMD $APH $CDW $CNC $COST $EDU $ESRT $FLYW $HP $IEX $JNPR $MLM $PAYO $RBA $SRE $TWTR $WSO,Analyst Update
Bank of America Cuts S&amp;P 500 Price Target by 20% to a New Street-Low - SI   ,Analyst Update
Downgrades 7/13: $AEL $ATRA $AUD $AZEK $CDLX $CE $CS $CVLT $CWAN $CZR $DOCN $EAF $ECL $FCX $FFIV $GPS $HAS $HGEN $HRMY $ILMN $JNPR $LAZ $OMF $PLAY $SCCO $SE $SEAS $SHW $SWIM $SYF $VERI $VRRM $VSTO $YETI,Analyst Update
Upgrades 7/13: $ABEV $AWI $BNTX $CCCS $CTS $PWSC $SHYF $SLCA $TAP,Analyst Update
Downgrades 7/11: $ABC $ALLE $AME $BDX $BROS $CDEV $CIVI $CNX $CTMX $DOCN $DUOL $FFWM $FSLY $ITT $KBH $KRUS $LULU $LUNG $MAN $MC $META $MGNX $MYPS $NEWR $OI $ONEM $OXY $PIPR $PNFP $PODD $QRVO $RDFN $SILK $SLRC $SU $SYK $TROW $UAA $UPST,Analyst Update
Upgrades 7/11: $APG $AX $BAC $ESI $FATE $FLS $HLT $HON $LEA $MAR $MAT $MRVL $NSSC $RRC $SWN $TMHC $VC $ZG,Analyst Update
"DBRS Morningstar Confirms Republic Of Ireland At AA (low), Stable Trend   ",Analyst Update
$AMZN | Citigroup Cuts Amazon Price Target To $180 From $205,Analyst Update
"$XLK - Credit Suisse wary on Big Tech earnings, but Oppenheimer highlights charts  ",Analyst Update
"Downgrading Stocks, Upgrading Credit.  https://t.co/kJUY8I1HUh #business #investing #stocks",Analyst Update
"$BCS - Barclays: Interest Rate Leverage, Trading At Bargain Levels.  https://t.co/uXWLh2Znb7 #business #markets #finance",Analyst Update
"More analysts covering Apple are cutting their share-price forecasts, signaling growing concerns about an economic slowdown that could hurt the sales of its products  ",Analyst Update
"Piper Sandler strategist Michael Kantrowitz's bear case for the S&amp;P 500 is now his base case: 3,400 by year-end  ",Analyst Update
Klarna’s valuation slashed to under $7bn in latest funding round  ,Analyst Update
Susquehanna analyst Christopher Stathoulopoulos upgraded Southwest (NYSE: $LUV) from Neutral to Positive with a price target of $45.00. @Street_Insider,Analyst Update
"Mizuho Securities analyst James Lee lowered the price target on Twitter, Inc. (NYSE: $TWTR) to $35.00 (from $54.00) while maintaining a Neutral rating.",Analyst Update
