title tokens,label
แถลง|ความ|(|ไม่|)|คืบหน้า|คดี|วิสามัญ| |'|ชัยภูมิ| |ป่า|แส|'| |ทนาย|เผย| |1| |ปี|ยัง|ไร้|ภาพ|จาก|กล้องวงจรปิด,การเมือง
ป.ป.ช.|ชี้| |หาก|ไม่|ใช้|เกณฑ์|ประชาธิปไตย|-|เสรีภาพ| |มา|วัด| |ดัชนี|คอร์รัปชัน|ไทย|คง|ไม่|ตก|มา|ขนาด|นี้,การเมือง
เด็ก|ชนบท|เมือง|ดอกบัว|เสี่ยง|ต่อ|การ|ถูก|ละเมิด|ทางเพศ,การเมือง
แดเนียล| |แรด|ค|ลิ|ฟฟ์| |แปลกใจ|สื่อ|ตื่นเต้น|เกิน|เหตุ|ฉาก|รัก|เพศ|เดียวกัน,ต่างประเทศ
มาเลย์|ห้าม|ย้าย|ไก่|สกัด|หวัด|นก,สิ่งแวดล้อม
เจ้าหน้าที่|ขุด|พบ|ศพ|ที่|เขา|จิงโจ้| |-| |เตรียม|ตรวจ|ดีเอ็นเอ|เทียบ|เอก|ยุทธ,การเมือง
สื่อ|นอก|ชี้| |พธม.|ยึด|สนามบิน|แทบ|ไม่|มี|ใคร|ได้ประโยชน์| |แถม|นักท่องเที่ยว|ตกค้าง|อื้อ,การเมือง
ข่าว|มอนิเตอร์| |ประจำ|วันที่| |26| |มิถุนายน| |2550,การเมือง
"กบ|ร.| |เร่ง|หน่วยงาน|ที่|เกี่ยวข้อง|สาง|ปัญหา|ที่ดิน|สาธารณประโยชน์| |""|ดอน|คำ|พวง|""",การเมือง
วิพากษ์|แผน|สร้าง|โรงไฟฟ้า|สะบ้า|ย้อย,สิ่งแวดล้อม
คน|เสื้อ|แดง|เผา|ทีวี|ประท้วง| |ขอ|ทวง|ดี|-|สเตชั่น,การเมือง
คอลัมน์| |:| |ปัญหา| |2|+|2| |=?| |ใน|ทัศนะ|ของ|นัก|คณิตศาสตร์| |วิศวกร| |และ|นักกฎหมาย,การเมือง
ออง| |ซาน| |ซูจี| |เชิญ|ประธานาธิบดี|-|ประธาน|สภา|-|ผบ.สส.|หารือ|ปรองดอง|แห่งชาติ,ต่างประเทศ
"""|อัน|เฟรล""| |จี้| |กกต.| |ปรับปรุง|การ|จัด|เลือก|ตั้งใหม่| |8| |ประการ",การเมือง
ต้อนรับ|ครอบครัว| |'|ไผ่| |ดาว|ดิน|'| |กลับ|จาก|รับรางวัล|กวาง|จู| |ตร.|สนามบิน|คุม|เข้ม,การเมือง
ผู้บาดเจ็บ|จาก|เหตุ|สลาย|ชุมนุม|ยังอยู่|ใน|ห้อง|ไอซียู| |4| |ราย,การเมือง
40| |ร.ร.|รือเสาะ|ปิด|ไม่|มี|กำหนด| |ครู|นราฯ| |เตรียม|เข้า|กรุง|ร้อง|นายกฯ| |19|พ.ย.| |นี้,การเมือง
บัณฑิต| |อา|นี|ยา| |นอน|คุก| |ศาลทหาร|ไม่|ให้|ประกัน| |เหตุ|หลักทรัพย์|ไม่|พอ|-|พน|ง.|สส.|ไม่|อยู่|ให้|สอบถาม,การเมือง
คุย|กับ|ทาส|แมว| |เมื่อ|ชุมชน|ป้อม|มหากาฬ|ไม่|ใช่|แค่|สถานที่| |แต่|คือ|คน| |(|และ|แมว|เหมียว|),คุณภาพชีวิต
"ฟ้า|เดียวกัน| |:| |ประชาชน| |20,468,646| |คน| |คิด|เป็น|กี่| |%| |ของ|การเลือกตั้ง| |2| |ก.พ.| |57",การเมือง
มท|ภ.|2| |เปิดงาน|ปกป้อง|สถาบัน| |ระดม|นักเรียน|นักศึกษา|อีสาน|ร่วม|หมื่น,การเมือง
ดีเบต|ศึก|ชิง|เก้าอี้|ปธน.| |สหรัฐ|รอบ|แรก| |นักวิเคราะห์|ชี้| |รอม|นีย์|ชนะ|ขาด,ต่างประเทศ
รายงาน|เสวนา|:| |โลก|ร้อน| |กับ|เอเชียตะวันออกเฉียงใต้,การเมือง
ส.|นักข่าว| |ชี้|ควร|เลี่ยง|เสนอ|ภาพ|ยั่วยุ|ให้|เกิด|ความรุนแรง| |หลัง|เฟซบุ๊ก|ไลฟ์|ลุง|ฆ่าตัวตาย|ประท้วง| |ม.|44,การเมือง
กรณี|หมุด|คณะ|ราษฎร|:| |ข้อเสนอ|ยุทธศาสตร์|คน|เสื้อ|แดง,การเมือง
ทำบุญ|ครบรอบ| |50| |วัน|ผู้เสียชีวิต|จาก|เหตุการณ์| |10| |เมษา,สังคม
แม่ทัพ|ภาค|4|แย้ม|กลุ่ม|ป่วน|ใต้|ขอ|เจรจา,การเมือง
ศาลชั้นต้น|สั่ง|จำคุก| |14| |ปี| |นายก|ประมง|ตรัง| |และ|พวก|ใน|คดี|ค้า|มนุษย์|ปี| |58,คุณภาพชีวิต
ศาล|ยกฟ้อง|ชว|นนท์|หมิ่น|ยิ่ง|ลักษณ์| |เพราะ|ปกป้อง|ผลประโยชน์|ของ|ประเทศ,การเมือง
14| |ขบวนการ|ประชาธิปไตย|ใหม่| |ยัน|มาตรา| |44| |ไม่|ใช่|กฏ|หมาย| |พร้อม|เตรียม|เดินหน้า|ต่อ,การเมือง
หัวหน้า| |คสช.| |เข้าเฝ้า|-|รับ|พระราชทาน|รัฐธรรมนูญ|ฉบับ|ชั่วคราว,การเมือง
"ผู้|เลี้ยง|กุ้ง|ชี้|""| |วัฒนา|""| |สอบตก|เอ|ดี|กุ้ง",สิ่งแวดล้อม
ซีไอเอ| |งาน|เข้า| |หลัง|ถูก|แฉ|ซ้อม|ทรมาน|ผู้ต้องสงสัย|อัล|เค|ด้า,การเมือง
สัมภาษณ์|:| |ข้าราชการ|ใน|ดง|กระสุน| |นายอำเภอ|กลาง|ไฟ|ใต้,การเมือง
คน|กะเหรี่ยง|ไม่|ขำ|ด้วย| |ลุกขึ้น|โต้|สังคม|-|สื่อ| |พาดพิง|ดูหมิ่น,การเมือง
สมัชชา|คนจน|แถลง|ค้าน|รัฐประหาร|-|เรียกร้อง|ยกเลิก|อัยการ|ศึก,การเมือง
กลุ่ม|นักศึกษา| |3| |จังหวัด|ใต้| |ติง|รัฐ|เพิกเฉย|ปิดบัง|ข้อ|มูลเหตุ|ขยาย|ความร้าวฉาน|พุทธ|-|มุสลิม,การเมือง
สัมภาษณ์|สม|ชาย| |ปรีชา|ศิลป|กุล| |นิติ|รัฐ| |อารยะ|ขัดขืน| |และ|การ|มอง|ให้|เห็น|ความ|เป็น|คน,การเมือง
บทความ|:| |JTEPA| |กับ|ตำรา|พิชัยสงคราม| |(|2|),การเมือง
"""|นิธิ|""| |ยัน|หลักการ|ร่วม|ลงชื่อ|ยกเลิก| |ม.|112| |ป้องกัน|ใช้|เป็น|เครื่องมือ|ทางการเมือง",การเมือง
แม่|น้อง|จ้า| |-| |เด็กหญิง| |เหยื่อ|กระสุน|มือปืน|เม็กซิกัน|ฟ้อง|ศาลแพ่ง|ทวง|ความยุติธรรม,การเมือง
"สัมภาษณ์|พิเศษ| |ศ.|เสน่ห์| |จาม|ริก| |:| |การเมือง|เรื่อง| |""|ป่า|""",การเมือง
สมัชชา|สังคม|ไทย|:|เปลี่ยนตัว|ผู้บริหารประเทศ|ไม่|ได้|หมายความว่า|ระบอบ|ทักษิณ|จะ|หาย|ไป,การเมือง
ดัน|แก้| |ม.|7| |ทวิ| |วรรค| |3| |คืน|สิทธิ|เด็ก|ไร้|สัญชาติ,สิ่งแวดล้อม
โจร|ใต้|ไม่|เว้น|คน|เผาถ่าน|ก็|ยิง,สิ่งแวดล้อม
กร|ธ.|ห้าม|แก้| |รธน.|ที่|เปลี่ยนแปลง|การปกครอง|จาก|ระบอบประชาธิปไตย|อัน|มี|พระมหากษัตริย์|ทรง|เป็น|ประมุข,การเมือง
"นปช.|ประณาม|รัฐ|คุกคาม|สื่อ| |เตรียม|เปิด| |""|นิ|วดี|สเตชั่น|""",การเมือง
เงินเดือน|และ|ค่าใช้จ่าย|ของ|แรงงาน|ใน|ไต้หวัน|พุ่ง|สูง|ขึ้น,ต่างประเทศ
เสวนา|ทำไม|ต้อง|ยุบสภา|ใน| |3| |เดือน|-|วิ|วาทะ|ทางลง|คน|เสื้อ|แดง| |ทาง|ไป|ประเทศ|ไทย,การเมือง
ไต่สวน|การตาย| |2| |ศพ|ใต้|ทางด่วน|พระราม| |4| |-| |DSI| |แจง|ฟ้อง| |‘|อภิสิทธิ์|-|สุเทพ|’| |เพิ่ม,การเมือง
26| |ผู้บริหาร|ธรรมศาสตร์|ร้อง|ประยุทธ์| |ทบทวน|การ|ดำเนินคดี| |'|เดิน|มิตรภาพ|',การเมือง
นัก|สิทธิมนุษยชน|เสนอ| |10| |ข้อ| |แก้ปัญหา|ผู้ลี้ภัย,ต่างประเทศ
รายงาน|:| |คนไทย|ถูก|คุกคาม| |เพราะ|เหตุ|แห่ง|การสืบสาน|รากเหง้า|เคารพ|บรรพชน|ชนชาติ|มอญ|ไทย|รามัญ| |?!,การเมือง
"""|ครู|จู|ห|ลิง|""|น้ำตาไหล|หลัง|หลับ|ยาว| |45| |วัน",การเมือง
"5| |พันธมิตร|สิ่งแวดล้อม| |ประจวบฯ| |ตามติด|อุทธรณ์|คดี|ฆ่า| |""|เจริญ|""| |พร้อม|ค้าน|ประกัน|คน|จ้างวาน",การเมือง
ศาลอุทธรณ์|ไม่|ประกัน|ผู้ต้องหา|เผา|ศาลากลาง|มุกดาหาร,การเมือง
อธิการบดี| |ม|ธ.| |เตรียม|สอบ|ข้อเท็จจริง|กรณี|มี|ผู้|ถ่ายรูป|คู่|รูปปั้น|ปรีดี,สังคม
หมอ|นิรันดร์| |ร่วม| |“|ปฏิญญา|หน้า|ศาล|”| |ย้ำ|การ|มี|นักโทษการเมือง|คือ|การ|ละเมิด|สิทธิ|ฯ,การเมือง
ชำนาญ| |จันทร์|เรือง|:| |สัตยาเคราะห์,การเมือง
"ผล|เอ็กซิต|โพล| |""|อภิรักษ์|""| |นำโด่ง",การเมือง
เสวนา|ไฟ|ใต้|เจ้าหน้าที่|รัฐ|ยอมรับ|ยัง|ผวา,สิ่งแวดล้อม
น่าเป็นห่วง|..คน|สูญหาย|ตาย|จาก|เพราะ|รัฐ|ไทย|ยอด|พุ่ง|เกิน|ร้อย|!,การเมือง
"กลุ่ม|หนุน| |""|ทักษิณ|""| |ปิดล้อม|และ|มีปากเสียง|กับ|กลุ่ม|ต่อต้าน|กว่า| |1| |ชม.",การเมือง
สำนักข่าว|ชาวบ้าน| |รายงาน| |:| |เอกภาพ|ของ|รัฐ| |กับ|ข้อเสนอ| |6| |ด้าน| |ทาง|จบ|ปัญหา|ใต้|?,การเมือง
ประมง|ไทย|วุ่น|อินโดฯ| |ไม่|ต่อ|สัมปทาน,การเมือง
ตะลึง|!| |พบ|ผู้|พลัดถิ่น|ภายในประเทศ|(|IDPs|)| |รัฐ|คะ|เร|นนี| |ประเทศ|พม่า|เพิ่ม|สูง|ขึ้น|เป็น|อันดับ|หนึ่ง|ของ|โลก,การเมือง
สนช|.|ผ่าน| |3| |วาระ|รวด| |ถวาย|คืน|พระ|ราช|อำนาจ|กษัตริย์|สถาปนา|สังฆราช| |-| |ตัด|มหา|เถร|สมาคม|ชง|ชื่อ,การเมือง
ภาค|ประชาชน|เชียงใหม่|ค้าน|โครงการ|ก่อสร้าง|ประตูระบายน้ำ|แม่|ปิง| |ขู่|ฟ้องศาล|หาก|ดื้อดัน|ต่อ,การเมือง
คน|เสื้อ|แดง| |‘|ก้าว|พ้น|’| |ทักษิณ|แล้ว| |คุณ|ล่ะ|?,การเมือง
คน|เชียงราย|โวย|เขื่อน|จีน|ทำ|แม่น้ำ|โขง|วิกฤติ|หนัก| |เหือด|จน|ไทย|-|ลาว|ชิด|ติดกัน,การเมือง
กวี|ประชา|ไท|:| |ที่นี่|..|มี|คนตาย,การเมือง
ประเทศ|ไทย|อยู่|ตรงไหน|:| |คนไทย|กับ|สตาร์บัคส์,คุณภาพชีวิต
ประยุทธ์|ลั่น|เข้มงวด| |3| |เดือน| |รถตู้|ใคร|วิ่ง|ไม่|ได้|ไม่ต้อง|วิ่ง| |เดี๋ยว|หา|รถ|มา|วิ่ง|เอง,คุณภาพชีวิต
เปิด|เวที| |Pat|(|t|)|ani| |Peace| |Process| |เดินหน้า|สร้าง|สันติภาพ|ชายแดน|ใต้,การเมือง
"สุร|ชาติ| |บำรุง|สุข| |:| |""|กฎหมาย|ความมั่นคง|"":| |MBA| |สังคม|ไทย|สร้าง|อมาตยาธิปไตย|ที่|อำนาจ|ทหาร|เป็น|แกนกลาง",การเมือง
ทีดีอาร์ไอ|เสนอ| |สธ|.|ปรับ|บทบาท|เหมือน| |ธนาคารแห่งประเทศไทย,คุณภาพชีวิต
โปรดเกล้าฯ| |พ.ร.บ.|สภา|ความมั่นคง|ฯ| |ฉ.|ใหม่| |เพิ่ม|ที่นั่ง| |รมว.|ยุติธรรม|-ICT,การเมือง
ครม.|กำหนด| |26| |ต.ค.|นี้| |เป็น|วันหยุดราชการ| |เพื่อให้| |ปชช.|ร่วม|พระราชพิธี|ถวายพระเพลิง|ฯ,การเมือง
สมการ|สังคม|ไทย| |‘|รัฐ|+|ทุน| |เท่ากับ| |ลืม|คนจน|’,คุณภาพชีวิต
กอ.รมน.| |เล็ง|ดำเนินการ|กับ|สถานีวิทยุ|ชุมชน|อีก| |800| |แห่ง,การเมือง
กวี|ประชา|ไท|:| |ลมหายใจ|และ|ความเชื่อ,การเมือง
โปรดเกล้าฯ| |แล้ว| |รัฐธรรมนูญ| |57| |แก้ไข|เพิ่มเติม| |ปม|พระ|ราช|อำนาจ,การเมือง
ยิ่ง|ลักษณ์|ออก|จม|.|ถึง|ประยุทธ์| |ขอ|หลักประกัน|แห่ง|ความยุติธรรม| |ปม|จำนำ|ข้าว,การเมือง
"ศาลอุทธรณ์|พิพากษา|ยืน|จำคุก|ทีม|จ้างงาน|ฆ่า|องคมนตรี| |""|ชาญ|ชัย| |ลิขิต|จิต|ถะ|""| |16| |ปี| |8| |เดือน",การเมือง
นักข่าว|พลเมือง|:| |กลุ่ม|ปกป้อง|ที่ดิน|วะ|กัฟ| |อ.|จะ|นะ| |เรียกร้อง|จุฬาราชมนตรี| |แก้ไขปัญหา|ให้,คุณภาพชีวิต
บันทึก|จาก|ผู้สื่อข่าว|ต่างประเทศ|:| |เกิด|อะไร|ขึ้น|เมื่อ|วันที่| |7| |ตุลา| |2551| |(|ภาค|จบ|):| |คำชี้แจง|ของ| |Nick| |Nostiz,การเมือง
ประยุทธ์|เปิดงาน| |'|ประชาคม|เข้มแข็ง|สู่| |ประชาธิปไตย|ที่|สมบูรณ์|'| |ย้ำ| |ปชช.|ไม่|ใช่|มี|หน้าที่|เพียง|เลือกตั้ง|เท่านั้น,การเมือง
ตัวเลข|ว่างงาน|ต่ำ| |มาจาก|ไหน| |ทำงาน|อะไร|ก็ได้| |1|ชม.|/|สัปดาห์| |ก็|ถูก|นับว่า| |'|มี|งาน|ทำ|'| |แล้ว,เศรษฐกิจ
แผน|ส่งตัว|ผู้อพยพ| |3| |ล้าน|ออก|นอก|ประเทศ|ของ| |'|โดนัลด์| |ทรัมป์|'| |เจอ|ต้าน|-|ต้อง|ใช้|งบ|บาน,ต่างประเทศ
พลเมือง|ภิ|วัฒน|์|ลั่น|ล้อม|ชุมนุม|หน้า|กองทัพบก|หาก|ไม่|ปล่อย| |บก|.|ลาย|จุด,การเมือง
ร้อง| |รมว.|สธ|.|เสนอ| |ครม.| |ให้|คนไทย|ไร้|สถานะ| |2| |แสน|คน|ได้|สิทธิ|รักษา,การเมือง
"คำชี้แจง|ผู้บริหาร|เนชั่น| |ต่อ|กรณี|วิ|วาทะ|รายการ| |""คม| |ชัด| |ลึก|""",การเมือง
วาติกัน|เลือก|พระ|สันตะปาปา|องค์|ใหม่|จาก|อาร์เจนตินา,ต่างประเทศ
ครม.|ผ่าน|ตั้ง|สถาบัน|ประกัน|เงินฝาก,สิ่งแวดล้อม
สมาชิกสภา|ผู้นำ|ชุมชน|ฯ| |ลั่น|พร้อม|ลาออก| |หาก|ขาด|อิสระ,สิ่งแวดล้อม
ไทย|-|จีน| |จับมือ| |พัฒนา|พลังงาน|ทดแทน|-|สวล.,สิ่งแวดล้อม
ชาติพันธุ์|สนทนา| |ร่าง|รธน.|59| |กังวล|รัฐ|ละเมิด|สิทธิ|มากขึ้น|ถ้า|ประชามติ|ผ่าน,การเมือง
"ใช้|หลัก|สากล|ลงดาบ| |""|เหวง|""| |ฟ้อง| |UN| |ฟัน| |""|พันธมิตร|""| |ยึด|สนามบิน|เป็น| |""|ก่อการร้าย|สากล|""",การเมือง
55| |ส.ว.|อัด|รัฐ| |หยุด|ยิง| |ปชช.| |ทำผิด|ต้อง|เข้า|ยุติธรรม| |ไม่|ใช่|ยิง,การเมือง
สุขุม|พันธุ์|ป้อง|รอง|ผู้ว่าฯ| |ไป|ต่างประเทศ|บ่อย|ไม่|เสียหาย|เป็น|เรื่องส่วนตัว| |อภิสิทธิ์|นัด|เคลียร์,การเมือง
"""|กาชาด|สากล|""| |ชี้|กม.|ต้าน|ก่อการร้าย|ของ| |'|บุช|'| |ขัด|อนุสัญญา|เจนีวา",การเมือง
ทนาย| |'|14| |ประชาธิปไตย|ใหม่|'| |ถูก|หมายเรียก|ข้อ|หาไม่|ปฏิบัติ|ตามคำสั่ง|เจ้าพนักงาน|-|แจ้งความ|เท็จ,การเมือง
WHO| |ผุด|กลยุทธ์|ระดับ|ภูมิภาค|พัฒนา|สาธารณสุข|ชุมชน,การเมือง
ถก|ปม| |กย|ศ.| |จา|กลด|แรงเสียดทาน|หลัง|นำ|ม.|ออก|นอก|ระบบ| |สู่|โจทย์|เบี้ยว|หนี้|-|เปลือง|งบ|ฯ,เศรษฐกิจ
EU| |แจง|พร้อม|ร่วม| |หาก|ไทย|ชวน|มา|สังเกตการณ์|เลือกตั้ง| |ปัด|เตรียมการ|ไว้|ก่อน,การเมือง
บท|สัมภาษณ์| |คน|เสื้อ|แดง|ชุมชนเมือง|เชียงใหม่| |:| |ประชาธิปไตย|ใน|ทัศนะ|ชาวบ้าน,การเมือง
สม|ชัย| |ภัทร|ธนา|นันท์|:| |จาก|การเมือง|ของ|คน|เสื้อ|แดง|ถึง|สังคม|อีสาน|ยุค|หลัง|ชาวนา,การเมือง
การ์ด| |นปช.| |และ|ผู้|ชุมนุม|ถูก|ทำร้ายร่างกาย,การเมือง
TDRI|:| |กำหนด|อนาคต|ประเทศ|จาก|ผังเมือง|ภาค|สู่|ผังเมือง|ไทย,คุณภาพชีวิต
ยูนิเซฟ| |ยินดี|กับ| |รบ.|ไทย| |หลัง|ไฟเขียว|ขยาย|โครงการ|เงินอุดหนุน|เพื่อ|การ|เลี้ยงดู|เด็กแรกเกิด,คุณภาพชีวิต
กวี|ประชา|ไท|:| |กวี|รำพัน,การเมือง
จาก|ใจ|อภิสิทธิ์|ถึง|คนไทย|ทั้ง|ประเทศ| |4|:| |91| |ศพ|สังเวย|ความต้องการ|ใคร| |(|ภาค|2|),การเมือง
เผย|ขึ้น|ค่า|รถเมล์|ส่งผล|ต่อ|จิตวิทยา|มนุษย์|เงินเดือน| |แต่|ไม่|กระทบ|เศรษฐกิจ,การเมือง
ใช้| |ม.|44| |โอน| |สนง.|ส่งเสริม|อาชีวะ|เอกชน|ไป|สังกัด| |สอ|ศ.,การเมือง
'|อีสาน|ใหม่|'| |เดิน|ขึ้น|โรงพัก|ถาม|ความคืบหน้า|คดี| |'|เด่น| |คำ|แห|ล้'| |หายตัว,สิ่งแวดล้อม
ใบตอง|แห้ง|...|ออนไลน์|:| |ทางแพร่ง|สู่|สงคราม,การเมือง
ข่าวสั้น|เอ|ไอ|:| |แอม|เนสตี้| |อินเตอร์เนชั่นแนล|พบ|เอ็ดเวิร์ด| |ส|โน|ว์|เดน,ต่างประเทศ
ในหลวง|-|ราชินี|พระราชทาน|เครื่องหอม|แก่|รอง|ผู้ว่าฯ|ปัตตานี,สิ่งแวดล้อม
โวย|รัฐ|สกัดกั้น|สื่อ|เห็น|ต่าง| |บุก|จับ| |12| |วิทยุ|ชุมชนเมือง|คอน,การเมือง
"คน|พังงา|หวั่น| |""|แลน|บริดจ์|""| |ทำลาย|ท่องเที่ยว",สิ่งแวดล้อม
ชาวบ้าน|ร่ำไห้| |ศาลปกครอง|ยกฟ้อง|กรณี|เหมืองแร่|ทุ่ง|คำ| |ไม่|ขัด|กฎหมาย|-|ไม่|ก่อ|อันตราย,สิ่งแวดล้อม
นัก|เคลื่อนไหว|ตะวันออกกลาง|ช็อค| |บล็อกเกอร์| |“|หญิง|เกย์|ใน|ซีเรีย|”| |เป็นเรื่อง|แต่ง,ต่างประเทศ
